capture_us,arm_x,arm_z,claw
1787986328807008,0,0,128
1787986328827000,0,0,128
1787986328846546,0,0,128
1787986328866636,0,0,128
1787986328886940,0,0,128
1787986328906534,0,0,128
1787986328926589,0,0,128
1787986328946785,0,0,128
1787986328966843,0,0,128
1787986328986717,0,0,128
1787986329006548,0,0,128
1787986329026487,0,0,128
1787986329047524,0,0,128
1787986329067100,0,0,128
1787986329086830,0,0,128
1787986329107137,0,0,128
1787986329127329,0,0,128
1787986329146698,0,0,128
1787986329166464,0,0,128
1787986329186556,0,0,128
1787986329207478,0,0,128
1787986329226923,0,0,128
1787986329246755,0,0,128
1787986329266734,0,0,128
1787986329286955,0,0,128
1787986329306660,0,0,128
1787986329327108,0,0,128
1787986329346764,0,0,128
1787986329366633,0,0,128
1787986329387036,0,0,128
1787986329407370,0,0,128
1787986329426791,0,0,128
1787986329447009,0,0,128
1787986329467255,0,0,128
1787986329486725,0,0,128
1787986329507502,0,0,128
1787986329526463,0,0,128
1787986329547167,0,0,128
1787986329566562,0,0,128
1787986329587383,0,0,128
1787986329606593,0,0,128
1787986329626847,0,0,128
1787986329646815,0,0,128
1787986329667103,0,0,128
1787986329686776,0,0,128
1787986329707205,0,0,128
1787986329726904,0,0,128
1787986329747109,0,0,128
1787986329766694,0,0,128
1787986329787501,0,0,128
1787986329807026,0,0,128
1787986329826601,0,0,128
1787986329846987,0,0,128
1787986329866489,0,0,128
1787986329886469,0,0,128
1787986329906908,0,0,128
1787986329927300,0,0,128
1787986329946725,0,0,128
1787986329966869,0,0,128
1787986329987451,0,0,128
1787986330007334,0,0,128
1787986330027541,0,0,128
1787986330046477,0,0,128
1787986330067229,0,0,128
1787986330087204,0,0,128
1787986330107282,0,0,128
1787986330127192,0,0,128
1787986330147346,0,0,128
1787986330167509,0,0,128
1787986330186826,0,0,128
1787986330207030,0,0,128
1787986330226766,0,0,128
1787986330246839,0,0,128
1787986330267215,0,0,128
1787986330287495,0,0,128
1787986330307433,0,0,128
1787986330326879,0,0,128
1787986330347087,0,0,128
1787986330367106,0,0,128
1787986330386759,0,0,128
1787986330406571,0,0,128
1787986330427365,0,0,128
1787986330447302,0,0,128
1787986330466936,0,0,128
1787986330487141,0,0,128
1787986330507098,0,0,128
1787986330526914,0,0,128
1787986330546528,0,0,128
1787986330567343,0,0,128
1787986330587171,0,0,128
1787986330607713,0,0,128
1787986330626648,0,0,128
1787986330646811,0,0,128
1787986330667140,0,0,128
1787986330686511,0,0,128
1787986330706641,0,0,128
1787986330726719,0,0,128
1787986330746600,0,0,128
1787986330766606,0,0,128
1787986330787095,0,0,128
1787986330807408,0,0,128
1787986330826526,0,0,128
1787986330847250,0,0,128
1787986330866741,0,0,128
1787986330886981,0,0,128
1787986330907343,0,0,128
1787986330927328,0,0,128
1787986330947137,0,0,128
1787986330967240,0,0,128
1787986330987376,0,0,128
1787986331007322,0,0,128
1787986331027121,0,0,128
1787986331047407,0,0,128
1787986331067137,0,0,128
1787986331087359,0,0,128
1787986331106583,0,0,128
1787986331127380,0,0,128
1787986331147423,0,0,128
1787986331167506,0,0,128
1787986331186490,0,0,128
1787986331206557,0,0,128
1787986331227261,0,0,128
1787986331247212,0,0,128
1787986331267382,0,0,128
1787986331287555,0,0,128
1787986331307006,0,0,128
1787986331327206,0,0,128
1787986331346958,0,0,128
1787986331366691,0,0,128
1787986331386581,0,0,128
1787986331407608,0,0,128
1787986331427040,0,0,128
1787986331446530,0,0,128
1787986331467219,0,0,128
1787986331487050,0,0,128
1787986331507218,0,0,128
1787986331526737,0,0,128
1787986331547322,0,0,128
1787986331566591,0,0,128
1787986331587260,0,0,128
1787986331607241,0,0,128
1787986331626540,0,0,128
1787986331646796,0,0,128
1787986331666754,0,0,128
1787986331686684,0,0,128
1787986331707359,0,0,128
1787986331726840,0,0,128
1787986331747026,0,0,128
1787986331767567,0,0,128
1787986331786725,0,0,128
1787986331807165,0,0,128
1787986331827146,0,0,128
1787986331847413,0,0,128
1787986331866467,0,0,128
1787986331886716,0,0,128
1787986331907463,0,0,128
1787986331927359,0,0,128
1787986331946591,0,0,128
1787986331966528,0,0,128
1787986331986586,0,0,128
1787986332007138,0,0,128
1787986332026810,0,0,128
1787986332046669,0,0,128
1787986332066481,0,0,128
1787986332087221,0,0,128
1787986332107046,0,0,128
1787986332127220,0,0,128
1787986332146736,0,0,128
1787986332166843,0,0,128
1787986332186756,0,0,128
1787986332206983,0,0,128
1787986332227152,0,0,128
1787986332246874,0,0,128
1787986332267103,0,0,128
1787986332287264,0,0,128
1787986332307480,0,0,128
1787986332326656,0,0,128
1787986332346749,0,0,128
1787986332366701,0,0,128
1787986332387521,0,0,128
1787986332407408,0,0,128
1787986332426800,0,0,128
1787986332446680,0,0,128
1787986332467370,0,0,128
1787986332487488,0,0,128
1787986332506888,0,0,128
1787986332527446,0,0,128
1787986332547536,0,0,128
1787986332566943,0,0,128
1787986332587402,0,0,128
1787986332607206,0,0,128
1787986332626892,0,0,128
1787986332646787,0,0,128
1787986332667009,0,0,128
1787986332686760,0,0,128
1787986332706674,0,0,128
1787986332727321,0,0,128
1787986332746876,0,0,128
1787986332766844,0,0,128
1787986332787364,0,0,128
1787986332807363,0,0,128
1787986332827488,0,0,128
1787986332846757,0,0,128
1787986332866817,0,0,128
1787986332886590,0,0,128
1787986332906646,0,0,128
1787986332927416,0,0,128
1787986332946713,0,0,128
1787986332967443,0,0,128
1787986332986994,0,0,128
1787986333006632,0,0,128
1787986333027347,0,0,128
1787986333046700,0,0,128
1787986333067354,0,0,128
1787986333087321,0,0,128
1787986333106716,0,0,128
1787986333127501,0,0,128
1787986333146980,0,0,128
1787986333166784,0,0,128
1787986333187169,0,0,128
1787986333207444,0,0,128
1787986333227534,0,0,128
1787986333247102,0,0,128
1787986333267333,0,0,128
1787986333286848,0,0,128
1787986333307182,0,0,128
1787986333326817,0,0,128
1787986333347306,0,0,128
1787986333366646,0,0,128
1787986333386787,0,0,128
1787986333407049,0,0,128
1787986333427271,0,0,128
1787986333447370,0,0,128
1787986333467410,0,0,128
1787986333487427,0,0,128
1787986333506584,0,0,128
1787986333526687,0,0,128
1787986333547457,0,0,128
1787986333567632,0,0,128
1787986333587266,0,0,128
1787986333606754,0,0,128
1787986333626726,0,0,128
1787986333647225,0,0,128
1787986333666539,0,0,128
1787986333686925,0,0,128
1787986333706848,0,0,128
1787986333726544,0,0,128
1787986333746893,0,0,128
1787986333766658,0,0,128
1787986333786646,0,0,128
1787986333807042,0,0,128
1787986333827245,0,0,128
1787986333847493,0,0,128
1787986333866818,0,0,128
1787986333886847,0,0,128
1787986333906760,0,0,128
1787986333927570,0,0,128
1787986333947362,0,0,128
1787986333967483,0,0,128
1787986333987056,0,0,128
1787986334007073,0,0,128
1787986334026744,0,0,128
1787986334047407,0,0,128
1787986334067102,0,0,128
1787986334086539,0,0,128
1787986334106487,0,0,128
1787986334127248,0,0,128
1787986334147421,0,0,128
1787986334167411,0,0,128
1787986334187353,0,0,128
1787986334206992,0,0,128
1787986334227065,0,0,128
1787986334247005,0,0,128
1787986334266720,0,0,128
1787986334287486,0,0,128
1787986334307510,0,0,128
1787986334326941,0,0,128
1787986334347272,0,0,128
1787986334366702,0,0,128
1787986334387000,0,0,128
1787986334406894,0,0,128
1787986334426489,0,0,128
1787986334447114,0,0,128
1787986334466858,0,0,128
1787986334486501,0,0,128
1787986334507063,0,0,128
1787986334527262,0,0,128
1787986334546869,0,0,128
1787986334567048,0,0,128
1787986334587430,0,0,128
1787986334606553,0,0,128
1787986334627391,0,0,128
1787986334647298,0,0,128
1787986334666947,0,0,128
1787986334686983,0,0,128
1787986334706652,0,0,128
1787986334727223,0,0,128
1787986334747456,0,0,128
1787986334767468,0,0,128
1787986334787152,0,0,128
1787986334807295,0,0,128
1787986334827080,0,0,128
1787986334846533,0,0,128
1787986334867595,0,0,128
1787986334887524,0,0,128
1787986334906603,0,0,128
1787986334926451,0,0,128
1787986334947117,0,0,128
