capture_us,seq,tick_id,region_id,battery,roll,pitch,yaw,motors
1787986325550220,104226,0,255,94,-0.29,0,5.37,4.82;39.18;0.35;4.35;39.8;0.12;3.88;45.45;-0.12;3.41;45.45;0.35;0.25;-10.35;9.41
1787986325571837,104235,0,255,94,-0.29,0,5.37,4.82;39.18;0.35;4.35;39.8;0.12;3.88;45.45;-0.12;3.41;45.45;0.35;0.25;-10.35;9.41
1787986325591124,104244,0,255,94,-0.29,0,5.37,4.82;39.18;0.35;4.35;39.8;0.12;3.88;45.45;-0.12;3.41;45.45;0.35;0.25;-10.35;9.41
1787986325611576,104253,0,255,94,-0.29,0,5.37,4.82;39.18;0.35;4.35;39.8;0.12;3.88;45.45;-0.12;3.41;45.45;0.35;0.25;-10.35;9.41
1787986325633743,104262,0,255,94,-0.29,0,5.37,4.82;39.18;0.35;4.35;39.8;0.12;3.88;45.45;-0.12;3.41;45.45;0.35;0.25;-10.35;9.41
1787986325650700,104271,0,255,94,-0.29,0,5.37,4.82;39.18;0.35;4.35;39.8;0.12;3.88;45.45;-0.12;3.41;45.45;0.35;0.25;-10.35;9.41
1787986325671164,104280,0,255,94,-0.29,0,5.37,4.82;39.18;0.35;4.35;39.8;0.12;3.88;45.45;-0.12;3.41;45.45;0.35;0.25;-10.35;9.41
1787986325691492,104289,0,255,94,-0.29,0,5.37,4.82;39.18;0.35;4.35;39.8;0.12;3.88;45.45;-0.12;3.41;45.45;0.35;0.25;-10.35;9.41
1787986325711015,104298,0,255,94,-0.29,0,5.37,4.82;39.18;0.35;4.35;39.8;0.12;3.88;45.45;-0.12;3.41;45.45;0.35;0.25;-10.35;9.41
1787986325732127,104307,0,255,94,-0.29,0,5.37,4.82;39.18;0.35;4.35;39.8;0.12;3.88;45.45;-0.12;3.41;45.45;0.35;0.25;-10.35;9.41
1787986325751989,104316,0,255,94,-0.29,0,5.37,4.82;39.18;0.35;4.35;39.8;0.12;3.88;45.45;-0.12;3.41;45.45;0.35;0.25;-10.35;9.41
1787986325771027,104325,0,255,94,-0.29,0,5.37,4.82;39.18;0.35;4.35;39.8;0.12;3.88;45.45;-0.12;3.41;45.45;0.35;0.25;-10.35;9.41
1787986325793027,104334,0,255,94,-0.29,0,5.37,4.82;39.18;0.35;4.35;39.8;0.12;3.88;45.45;-0.12;3.41;45.45;0.35;0.25;-10.35;9.41
1787986325811452,104344,0,255,94,-0.29,0,5.37,4.82;39.18;0.35;4.35;39.8;0.12;3.88;45.45;-0.12;3.41;45.45;0.35;0.25;-10.35;9.41
1787986325831867,104353,0,255,94,-0.33,0.02,5.35,4.82;39.18;0.35;4.35;39.8;-0.35;3.88;45.45;-0.12;3.41;45.45;0.35;0.25;-10.35;9.41
